app,strategy,best_fom,n_foms,run,experiment
amg2013,llm decision,7545.437,2,results-2025-09-07_01-52-13.json,amg2023
amg2013,llm decision,7554.313,3,results-2025-09-07_09-12-10.json,amg2023
amg2013,llm decision,7576.039,1,results-2025-09-07_15-25-59.json,amg2023
amg2013,llm decision,1592405000.0,5,results-2025-09-07_18-58-56.json,amg2023
amg2013,llm decision,1602391000.0,15,results-2025-09-07_20-57-56.json,amg2023
amg2013,llm decision,7558.686,17,results-2025-09-07_23-44-50.json,amg2023
amg2013,llm decision,1579739000.0,3,results-2025-09-08_00-12-52.json,amg2023
amg2013,llm decision,1583504000.0,3,results-2025-09-08_01-52-21.json,amg2023
amg2013,llm decision,1604893000.0,3,results-2025-09-08_02-51-51.json,amg2023
amg2013,llm decision,7570.929,1,results-2025-09-08_03-33-59.json,amg2023
amg2013,llm decision (multi-node),8282284.0,25,results-2025-09-20_07-49-10.json,amg2023-4-nodes-deploy
amg2013,llm decision (multi-node),6132476000.0,5,results-2025-09-20_14-04-53.json,amg2023-4-nodes-deploy
amg2013,llm decision (multi-node),6016753000.0,4,results-2025-09-20_16-07-04.json,amg2023-4-nodes-deploy
amg2013,user guided function,32373880.0,10,results-2025-09-11_00-59-09.json,amg2023-function
amg2013,user guided function,1134742000.0,7,results-2025-09-11_05-48-17.json,amg2023-function
amg2013,user guided function,8930233.0,12,results-2025-09-11_08-39-26.json,amg2023-function
amg2013,user guided function,52209580.0,3,results-2025-09-11_10-32-10.json,amg2023-function
amg2013,user guided function,106654500.0,8,results-2025-09-11_11-54-21.json,amg2023-function
amg2013,user guided function,68777550.0,7,results-2025-09-11_16-08-12.json,amg2023-function
amg2013,user guided function,1417084000.0,4,results-2025-09-11_18-12-03.json,amg2023-function
amg2013,user guided function,21306340.0,2,results-2025-09-11_22-08-48.json,amg2023-function
amg2013,user provided function,69684330.0,1,results-2025-09-12_07-01-38.json,amg2023-decision-function
amg2013,user provided function,7476.811,1,results-2025-09-12_11-57-11.json,amg2023-decision-function
amg2013,user provided function,80486410.0,2,results-2025-09-12_12-39-23.json,amg2023-decision-function
amg2013,user provided function,255.452,1,results-2025-09-12_16-54-21.json,amg2023-decision-function
