app,value,value,application,instance,percentage
amg2013,c6a.16xlarge,16,amg2013,c6a.16xlarge,12.903225806451612
amg2013,c7a.12xlarge,13,amg2013,c7a.12xlarge,10.483870967741936
amg2013,m7g.16xlarge,31,amg2013,m7g.16xlarge,25.0
amg2013,r6a.12xlarge,43,amg2013,r6a.12xlarge,34.67741935483871
amg2013,r7g.12xlarge,18,amg2013,r7g.12xlarge,14.516129032258066
amg2013,r7iz.8xlarge,3,amg2013,r7iz.8xlarge,2.4193548387096775
kripke,c6in.12xlarge,4,kripke,c6in.12xlarge,6.896551724137931
kripke,c7a.12xlarge,17,kripke,c7a.12xlarge,29.310344827586203
kripke,c7g.16xlarge,2,kripke,c7g.16xlarge,3.4482758620689653
kripke,hpc7g.16xlarge,29,kripke,hpc7g.16xlarge,50.0
kripke,m7g.16xlarge,5,kripke,m7g.16xlarge,8.620689655172415
kripke,r7iz.8xlarge,1,kripke,r7iz.8xlarge,1.7241379310344827
laghos,c7a.12xlarge,5,laghos,c7a.12xlarge,11.11111111111111
laghos,c7g.16xlarge,2,laghos,c7g.16xlarge,4.444444444444445
laghos,hpc7g.16xlarge,38,laghos,hpc7g.16xlarge,84.44444444444444
lammps,c7a.12xlarge,4,lammps,c7a.12xlarge,11.76470588235294
lammps,c7g.16xlarge,1,lammps,c7g.16xlarge,2.941176470588235
lammps,d3.4xlarge,1,lammps,d3.4xlarge,2.941176470588235
lammps,hpc7g.16xlarge,9,lammps,hpc7g.16xlarge,26.47058823529412
lammps,m6g.12xlarge,2,lammps,m6g.12xlarge,5.88235294117647
lammps,m7g.16xlarge,12,lammps,m7g.16xlarge,35.294117647058826
lammps,r7g.12xlarge,4,lammps,r7g.12xlarge,11.76470588235294
lammps,t4g.2xlarge,1,lammps,t4g.2xlarge,2.941176470588235
